Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFN,MPN,PurchasingLink,Purchasing Link,Digi-Key Part Number
1,b'',b'C_0.1uF',b'C2',b'C_0.1uF',b'C_0805_OEM',b'1',b'http://datasheets.avx.com/X7RDielectric.pdf',b'DK',b'478-3352-1-ND',b'https://www.digikey.com/products/en?keywords=478-3352-1-ND',b'',b''
2,b'',b'C_0.1uF',b'C7',b'C_0.1uF',b'C_0805_OEM',b'1',b'http://datasheets.avx.com/X7RDielectric.pdf',b'DK',b'478-3352-1-ND',b'https://www.digikey.com/products/en?keywords=478-3352-1-ND',b'',b''
3,b'',b'C_0.1uF',b'C9',b'C_0.1uF',b'C_0805_OEM',b'1',b'http://datasheets.avx.com/X7RDielectric.pdf',b'DK',b'478-3352-1-ND',b'https://www.digikey.com/products/en?keywords=478-3352-1-ND',b'',b''
4,b'',b'C_100pF',b'C6',b'C_100pF',b'C_0805_OEM',b'1',b'https://katalog.we-online.de/pbs/datasheet/885012007057.pdf',b'DK',b'732-7852-1-ND',b'https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012007057/732-7852-1-ND/5454479',b'',b''
5,b'',b'C_1uF',b'C1',b'C_1uF',b'C_0805_OEM',b'1',b'http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf',b'DK',b'1276-2887-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973',b'',b''
6,b'',b'C_1uF',b'C3',b'C_1uF',b'C_0805_OEM',b'1',b'http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf',b'DK',b'1276-2887-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973',b'',b''
7,b'',b'C_1uF',b'C8',b'C_1uF',b'C_0805_OEM',b'1',b'http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf',b'DK',b'1276-2887-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973',b'',b''
8,b'',b'C_30pF',b'C4 C5',b'C_30pF',b'C_0805_OEM',b'2',b'https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf',b'DK',b'1276-1130-1-ND',b'https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216',b'',b''
9,b'',b'LED_0805',b'D1 D2 D3',b'LED_0805',b'LED_0805_OEM',b'3',b'http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf',b'DK',b'475-1410-1-ND',b'https://www.digikey.com/products/en?keywords=475-1410-1-ND',b'',b''
10,b'',b'JST-PH_2_RA',b'J1',b'JST-PH_2_RA',b'JST-PH_2_RA',b'1',b'https://cdn-shop.adafruit.com/datasheets/17311.pdf',b'',b'',b'',b'https://www.adafruit.com/product/1769',b''
11,b'',b'R_100',b'R7',b'R_100',b'R_0805_OEM',b'1',b'https://www.seielect.com/Catalog/SEI-rncp.pdf',b'DK',b'RNCP0805FTD100RCT-ND',b'https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND',b'',b''
12,b'',b'R_10K',b'R9 R11',b'R_10K',b'R_0805_OEM',b'2',b'http://www.bourns.com/data/global/pdfs/CRS.pdf',b'DK',b'CRS0805-FX-1002ELFCT-ND',b'https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND',b'',b''
13,b'',b'R_10K',b'R4 R6',b'R_10K',b'R_0805_OEM',b'2',b'http://www.bourns.com/data/global/pdfs/CRS.pdf',b'DK',b'CRS0805-FX-1002ELFCT-ND',b'https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND',b'',b''
14,b'',b'R_200',b'R1 R2 R3 R5',b'R_200',b'R_0805_OEM',b'4',b'https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf',b'DK',b'RMCF0805JT200RCT-ND',b'https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND',b'',b''
15,b'',b'R_4.7K',b'R8 R10',b'R_4.7K',b'R_0805_OEM',b'2',b'http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_8.pdf',b'DK',b'311-4.7KARCT-ND',b'https://www.digikey.com/product-detail/en/yageo/RC0805JR-074K7L/311-4.7KARCT-ND/731274',b'',b''
